X,Y,OBJECTID,carr_way_no,road_id,road_name,start_name,end_name,location,latest,count_date,peak_hour,count_duration,adt,peaktraffic,pccar,pclcv,pcmcv,pchcvi,pchcvii,pcbus,pcheavy,NZTMX,NZTMY
1773321.412,5909740.594,228,27613,54806,WHITFORD RD (WHITFORD) (SR),GRIGGS RD,FAIRVIEW RD,5292,Yes,1994/01/26 00:00:00+00,,,4443,,,,,,,,,1773321.412,5909740.594
1774907.072,5900285.004,229,3437,60708,AIRFIELD RD (ARDMORE) (SR),CORSAIR LANE,MULLINS RD,4045,Yes,1995/02/07 00:00:00+00,14:00,,,,,,,,,,,1774907.072,5900285.004
1771940.281,5892103.094,230,2989,60710,BREMNER RD (RUNCIMAN) (SR),SPEED DERESTRICTION (LHS),AHUNGA RD,1276,Yes,2004/08/16 00:00:00+00,,,343,,91,3,5,1,0,0,6,1771940.281,5892103.094
1771393.663,5892099.587,231,3367,60710,BREMNER RD (RUNCIMAN) (SR),JESMOND RD,END,1818,Yes,2004/08/16 00:00:00+00,,,266,,92,2,5,1,0,0,6,1771393.663,5892099.587
1773820.317,5893236.998,232,3784,60711,SUTTON RD (OPAHEKE) (SR),CENTRE RAIL CROSSING,OPAHEKE RD,1130,Yes,2000/09/22 00:00:00+00,18:00,,,,,,,,,,,1773820.317,5893236.998
1773619.513,5891838.326,233,2794,60712,WAIHOEHOE RD (RUNCIMAN) (SR),FLANAGAN RD,KATH HENRY LANE,143,Yes,2005/10/17 00:00:00+00,,,4036,,90,3,3,2,2,0,7,1773619.513,5891838.326
1768903.93,5905873.19,234,24371,54762,DAWSON RD (FLAT BUSH) (SE),TE IRIRANGI DR (RHS),DISSMEYER DR (LIGHTPOLE LHS),1429,Yes,1998/03/02 00:00:00+00,,,3572,,,,,,,,,1768903.93,5905873.19
1769326.421,5908906.268,235,23601,54763,EAST TAMAKI RD (EASTBOUND/TAMAKI) (SE),ACCENT DR (LHS),PAUL STEVENSON PL,4653,Yes,2003/02/28 00:00:00+00,,,1761,,,,,,,,,1769326.421,5908906.268
1769514.517,5909027.337,236,28006,54763,EAST TAMAKI RD (EASTBOUND/TAMAKI) (SE),PAUL STEVENSON PL,CRAIGAVON DR RAB,4871,Yes,1991/11/12 00:00:00+00,,,3875,,86,8,3,2,1,0,6,1769514.517,5909027.337
1770083.26,5907266.347,237,32877,54810,ORMISTON RD (EASTBOUND/FLAT BUSH) (SE),UNFORMED ST (LHS),UNFORMED ST (LHS),2003,Yes,2001/07/27 00:00:00+00,,,4478,,85,10,2,1,2,0,5,1770083.26,5907266.347
1770983.781,5907035.978,238,32882,54810,ORMISTON RD (EASTBOUND/FLAT BUSH) (SE),TE ARA KAHIKATEA,FLINTRIDGE DR,2941,Yes,2010/08/16 00:00:00+00,17:00,7D,8025,905,96,1,2,1,0,0,3,1770983.781,5907035.978
1768172.635,5906564.958,239,24375,51144,DAWSON RD (OTARA) (SW),MURRAY RD,COOMBE AVE,404,Yes,2005/08/30 00:00:00+00,8:00,,8923,934,98,1,1,0,0,0,1,1768172.635,5906564.958
1768454.86,5906216.902,240,34261,51144,DAWSON RD (OTARA) (SW),HAUMIA WAY,SERENITY PL,854,Yes,1993/03/26 00:00:00+00,,,5906,,,,,,,,,1768454.86,5906216.902
1765553.3,5906988.31,241,24495,51205,EAST TAMAKI RD (EASTBOUND/OTARA) (SW),GREAT SOUTH RD (RHS),KELLIHER LANE,0,Yes,1998/02/23 00:00:00+00,,,,,,,,,,,,1765553.3,5906988.31
